payment_id, order_id, payment_method, payment_status, payment_amount
198,198,Net Banking,Refunded,28047.68
199,199,UPI,Paid,54042.2
200,200,Cash,Paid,34600.61
201,201,Credit Card,Paid,58520.09
202,202,UPI,Paid,53058.51
203,203,Net Banking,Paid,66734.75
204,204,UPI,Paid,70552.74
205,205,UPI,Paid,519.27
206,206,Net Banking,Paid,43390.44
207,207,Cash,Refunded,4078.5
208,208,Credit Card,Paid,11595.32
209,209,Debit Card,Paid,58817.39
210,210,Debit Card,Paid,16610.25
211,211,Net Banking,Paid,25960.65
212,212,Net Banking,Paid,66259.83
213,213,Credit Card,Paid,71098.95
214,214,Credit Card,Paid,5873.91
215,215,UPI,Paid,62459.37
216,216,Credit Card,Paid,86410.72
217,217,UPI,Paid,38098.54
218,218,Net Banking,Paid,81167.85
219,219,Credit Card,Paid,33101.03
220,220,Net Banking,Paid,66736.45
221,221,UPI,Paid,1478.74
222,222,Debit Card,Paid,58311.89
223,223,Debit Card,Paid,39764.48
224,224,Credit Card,Paid,82538.38
225,225,Cash,Paid,32752.31
226,226,Net Banking,Paid,42080.14
227,227,UPI,Paid,49406.71
228,228,Cash,Paid,39904.24
229,229,Net Banking,Paid,24750.84
230,230,Net Banking,Paid,41395.89
231,231,Cash,Paid,8051.03
232,232,Credit Card,Paid,45161.05
233,233,Cash,Paid,49254.3
234,234,Cash,Paid,5798.32
235,235,Net Banking,Paid,71759.41
236,236,Net Banking,Refunded,61925.46
237,237,UPI,Paid,23367.03
238,238,UPI,Paid,30941.53
239,239,UPI,Paid,58199
240,240,Net Banking,Paid,30321.59
241,241,Credit Card,Refunded,48984.56
242,242,Net Banking,Paid,6962.08
243,243,Cash,Paid,34206.5
244,244,Credit Card,Paid,75478.8
245,245,UPI,Paid,42119.23
246,246,Debit Card,Paid,79246.52
247,247,Credit Card,Paid,12278.19
248,248,Debit Card,Paid,88473.45
249,249,UPI,Paid,7763.56
250,250,Cash,Paid,7901.25
251,251,UPI,Paid,50206.11
252,252,UPI,Refunded,47150.26
253,253,Net Banking,Paid,42573.92
254,254,Debit Card,Paid,43885.13
255,255,UPI,Paid,15598.34
256,256,Debit Card,Refunded,65290.44
257,257,Net Banking,Paid,5521.9
258,258,Net Banking,Paid,87761.26
259,259,Credit Card,Paid,53860.1
260,260,UPI,Paid,58436.07
261,261,UPI,Paid,60371.27
262,262,Cash,Paid,8515.69
263,263,Net Banking,Refunded,83286.3
264,264,Cash,Paid,4874.37
265,265,Credit Card,Refunded,66400.76
266,266,Debit Card,Refunded,1360.31
267,267,Credit Card,Paid,59961.6
268,268,Credit Card,Paid,61841.16
269,269,UPI,Paid,63388.66
270,270,Credit Card,Paid,7647.18
271,271,Debit Card,Paid,55923.33
272,272,Net Banking,Paid,81430.7
273,273,Debit Card,Paid,24432.03
274,274,Net Banking,Paid,57708.33
275,275,Net Banking,Paid,29119.81
276,276,Credit Card,Paid,67410.5
277,277,Cash,Paid,31385.41
278,278,Credit Card,Paid,68790.59
279,279,Debit Card,Paid,5337.22
280,280,Credit Card,Paid,10436.62
281,281,Debit Card,Refunded,39840.52
282,282,Credit Card,Paid,8634.53
283,283,Cash,Paid,21680.48
284,284,Net Banking,Paid,69131.33
285,285,Cash,Paid,71721.06
286,286,Net Banking,Paid,69498.74
287,287,Net Banking,Paid,34325.05
288,288,Cash,Refunded,69110.89
289,289,UPI,Paid,29024.69
290,290,Cash,Paid,72807.6
291,291,Cash,Paid,59259.74
292,292,Cash,Paid,27055.24
293,293,Cash,Paid,45969.85
294,294,Credit Card,Paid,55221.02
295,295,Cash,Paid,86053.43
296,296,UPI,Paid,36248.87
297,297,Debit Card,Paid,60743.49
298,298,Cash,Paid,29963.88
299,299,Debit Card,Paid,50338.34
300,300,Credit Card,Paid,33837.52
301,301,UPI,Paid,87669.08
302,302,UPI,Paid,9016.26
303,303,UPI,Paid,82020.65
304,304,Net Banking,Paid,86605.74
305,305,Debit Card,Paid,80766.97
306,306,UPI,Paid,53801.95
307,307,Net Banking,Paid,22075.83
308,308,UPI,Paid,10865.27
309,309,Credit Card,Paid,73740.46
310,310,Cash,Paid,58679.84
311,311,Credit Card,Paid,1045.78
312,312,Debit Card,Paid,13557.36
313,313,Net Banking,Paid,14191.24
314,314,Debit Card,Paid,59743.99
315,315,Credit Card,Paid,76685.13
316,316,Net Banking,Paid,74090.45
317,317,UPI,Paid,82948.55
318,318,UPI,Paid,64728.07
319,319,Net Banking,Paid,76891.71
320,320,Cash,Paid,87465.33
321,321,UPI,Paid,25419.66
322,322,Net Banking,Paid,26733.46
323,323,Cash,Paid,86269.44
324,324,Credit Card,Paid,82720.93
325,325,Net Banking,Paid,7530.18
326,326,UPI,Paid,16729.59
327,327,Credit Card,Paid,72837.89
328,328,Net Banking,Paid,56048.08
329,329,Net Banking,Paid,40307.48
330,330,Cash,Paid,55884.71
331,331,Cash,Paid,41113.14
332,332,Debit Card,Paid,41653.87
333,333,Net Banking,Paid,25306.63
334,334,Credit Card,Paid,68336.71
335,335,Cash,Paid,25203.85
336,336,Cash,Paid,83380.53
337,337,Net Banking,Paid,89203.88
338,338,Debit Card,Paid,89526.47
339,339,Net Banking,Paid,86641.72
340,340,Cash,Paid,30158.56
341,341,Credit Card,Paid,19028.9
342,342,Credit Card,Refunded,46579.14
343,343,Cash,Paid,75674.57
344,344,Cash,Paid,25984.95
345,345,Debit Card,Paid,22043.38
346,346,UPI,Paid,36818.98
347,347,Net Banking,Paid,88312.6
348,348,Credit Card,Paid,12508.45
349,349,Net Banking,Refunded,78142.68
350,350,Cash,Paid,2831.59
351,351,Debit Card,Refunded,22933.39
352,352,UPI,Paid,87111.7
353,353,Debit Card,Paid,12079.37
354,354,Net Banking,Refunded,21942.14
355,355,Net Banking,Paid,86431.91
356,356,Credit Card,Paid,6346.3
357,357,Debit Card,Paid,25798.91
358,358,UPI,Paid,37827.77
359,359,Cash,Refunded,11966.25
360,360,Credit Card,Paid,62958.01
361,361,UPI,Paid,50316.78
362,362,Debit Card,Paid,81583.51
363,363,Cash,Paid,62816.82
364,364,Net Banking,Paid,77600.42
365,365,Debit Card,Paid,34090.8
366,366,Cash,Paid,63865.98
367,367,Cash,Paid,83729.28
368,368,Credit Card,Paid,61355.38
369,369,Cash,Paid,7119.58
370,370,Cash,Paid,63528.89
371,371,Cash,Paid,4022.87
372,372,Cash,Paid,24744.05
373,373,Cash,Paid,47479.7
374,374,Cash,Paid,45284.69
375,375,UPI,Paid,89116.32
376,376,UPI,Refunded,29751.97
377,377,Credit Card,Paid,60385.44
378,378,Net Banking,Paid,73359.87
379,379,Credit Card,Paid,8478.02
380,380,UPI,Paid,19101.85
381,381,Net Banking,Paid,18956.27
382,382,Credit Card,Paid,47209
383,383,Net Banking,Paid,70952.03
384,384,Cash,Paid,49199.06
385,385,Credit Card,Paid,63307.38
386,386,Net Banking,Paid,42566.48
387,387,Credit Card,Paid,88345.69
388,388,Net Banking,Paid,864.41
389,389,Debit Card,Paid,40560.57
390,390,UPI,Refunded,39555.55
391,391,Credit Card,Paid,36780.98
392,392,Debit Card,Paid,74201.95
393,393,Debit Card,Paid,73249.94
394,394,Net Banking,Paid,43386.38
395,395,Credit Card,Paid,15861.54
396,396,Net Banking,Paid,77332.42
397,397,UPI,Paid,45123.61
398,398,Debit Card,Paid,5317.34
399,399,Net Banking,Paid,47907.43
400,400,Net Banking,Paid,19883.66
401,401,Credit Card,Paid,20090.18
402,402,Net Banking,Paid,15568.31
403,403,Credit Card,Refunded,83073.45
404,404,Credit Card,Refunded,71042.74
405,405,Net Banking,Paid,29996.74
406,406,Credit Card,Paid,47052.32
407,407,Net Banking,Paid,88305.03
408,408,UPI,Paid,58536.74
409,409,Cash,Paid,37576.54
410,410,Cash,Refunded,76886.66
411,411,Debit Card,Paid,38092.92
412,412,Credit Card,Paid,36155.86
413,413,Debit Card,Paid,47629.62
414,414,Debit Card,Refunded,34396.19
415,415,Debit Card,Paid,46486.46
416,416,Credit Card,Paid,67227.67
417,417,Cash,Paid,18888.45
418,418,Credit Card,Paid,76378.22
419,419,Debit Card,Paid,25723.09
420,420,Net Banking,Paid,48258.92
421,421,Net Banking,Paid,2901.97
422,422,Cash,Paid,80237.74
423,423,Cash,Paid,23780.8
424,424,Credit Card,Paid,61070.78
425,425,Net Banking,Refunded,38130.6
426,426,Debit Card,Paid,2455.44
427,427,UPI,Paid,18807.71
428,428,Cash,Paid,20517.39
429,429,Credit Card,Paid,46195.2
430,430,UPI,Paid,65004.26
431,431,Cash,Paid,78082.92
432,432,Cash,Paid,20378.95
433,433,Cash,Paid,56322.52
434,434,Cash,Refunded,69822.94
435,435,Debit Card,Paid,60727.17
436,436,Debit Card,Paid,73729.27
437,437,Net Banking,Paid,75442.16
438,438,Net Banking,Paid,41417.06
439,439,Net Banking,Paid,44342.89
440,440,Net Banking,Paid,6657.74
441,441,Cash,Paid,33113.54
442,442,Cash,Paid,33317.75
443,443,Net Banking,Paid,60200.39
444,444,Cash,Paid,30854.21
445,445,Debit Card,Paid,33565.56
446,446,Net Banking,Paid,29381.65
447,447,UPI,Paid,12320.14
448,448,Debit Card,Paid,40047.01
449,449,Debit Card,Paid,78817.25
450,450,Cash,Paid,80812.08
451,451,Debit Card,Paid,31244.17
452,452,Debit Card,Paid,12049.04
453,453,Net Banking,Paid,13164.07
454,454,Cash,Paid,80511.54
455,455,Net Banking,Paid,15013.09
456,456,UPI,Paid,58614.99
457,457,UPI,Paid,55040.18
458,458,Net Banking,Paid,27153.44
459,459,Credit Card,Paid,26797.04
460,460,Credit Card,Paid,5685.79
461,461,Cash,Paid,42780.51
462,462,UPI,Paid,79389.2
463,463,Credit Card,Paid,46306.31
464,464,Debit Card,Refunded,27226.64
465,465,UPI,Paid,61583.22
466,466,Debit Card,Paid,70783.92
467,467,Credit Card,Paid,79061.38
468,468,Net Banking,Paid,52572.63
469,469,UPI,Paid,21249.58
470,470,UPI,Paid,51955.94
471,471,Debit Card,Paid,74099.84
472,472,Debit Card,Paid,64743.18
473,473,Cash,Paid,43194.11
474,474,Net Banking,Refunded,5783.42
475,475,Credit Card,Paid,54818.06
476,476,Credit Card,Paid,72102.81
477,477,UPI,Paid,29445.1
478,478,UPI,Paid,49965.83
479,479,Credit Card,Paid,18593.99
480,480,Debit Card,Paid,23800.15
481,481,Cash,Paid,42727.34
482,482,Credit Card,Paid,69112.2
483,483,Net Banking,Paid,80356.69
484,484,Debit Card,Paid,8120.43
485,485,UPI,Paid,73798.97
486,486,Cash,Paid,13821.14
487,487,Credit Card,Paid,8042.22
488,488,UPI,Paid,45374.32
489,489,Debit Card,Paid,8576.34
490,490,Cash,Paid,50575.37
491,491,Cash,Refunded,85585.68
492,492,Cash,Paid,58131.82
493,493,Debit Card,Paid,34372.2
494,494,Cash,Paid,14453.16
495,495,Cash,Paid,9960.01
496,496,Credit Card,Paid,3538.2
497,497,Cash,Paid,17539.74
498,498,UPI,Paid,65517.29
499,499,Net Banking,Paid,39971.5
500,500,Net Banking,Paid,79325.84
501,501,UPI,Paid,5128.96
502,502,Credit Card,Paid,82042.14
503,503,UPI,Paid,62263.12
504,504,Net Banking,Paid,55768.74
505,505,UPI,Paid,26363.43
506,506,Credit Card,Paid,10347.7
507,507,Credit Card,Paid,2356.49
508,508,Cash,Paid,24737.05
509,509,Net Banking,Refunded,33298.82
510,510,Net Banking,Paid,7172.2
511,511,Net Banking,Paid,69364.22
512,512,Credit Card,Paid,41004.24
513,513,Net Banking,Paid,32422.1
514,514,Net Banking,Refunded,13936.54
515,515,Net Banking,Paid,68104.47
516,516,Net Banking,Paid,2640.94
517,517,UPI,Paid,86383.39
518,518,UPI,Paid,8626.13
519,519,Net Banking,Paid,28596.51
520,520,Credit Card,Paid,87896.87
521,521,Net Banking,Paid,68444.39
522,522,Net Banking,Paid,77416.32
523,523,UPI,Paid,36084.68
524,524,Net Banking,Paid,31279.69
525,525,Net Banking,Paid,82285.56
526,526,Credit Card,Paid,35930.02
527,527,Net Banking,Paid,88817.3
528,528,Debit Card,Paid,5616.09
529,529,UPI,Refunded,47205.47
530,530,UPI,Paid,52325.8
531,531,Net Banking,Refunded,24909.04
532,532,Debit Card,Paid,18051.7
533,533,Net Banking,Refunded,19629.68
534,534,Net Banking,Paid,30586.78
535,535,Cash,Paid,26595.79
536,536,Cash,Paid,62506.01
537,537,Net Banking,Paid,78811.86
538,538,Cash,Paid,30354.32
539,539,Debit Card,Paid,44512.01
540,540,Credit Card,Paid,82226.08
541,541,Debit Card,Paid,61824.94
542,542,UPI,Paid,66919.7
543,543,Cash,Paid,19278.09
544,544,Credit Card,Paid,85946.94
545,545,Credit Card,Paid,82764.61
546,546,Net Banking,Paid,70112.21
547,547,Cash,Paid,48976.69
548,548,Cash,Paid,64025.99
549,549,Credit Card,Paid,75754.55
550,550,Credit Card,Refunded,48010.45
551,551,Cash,Paid,37184.15
552,552,Debit Card,Paid,28214.72
553,553,Debit Card,Paid,46698.28
554,554,UPI,Paid,9114.36
555,555,UPI,Paid,11985.17
556,556,Credit Card,Paid,41325.95
557,557,UPI,Paid,51885.34
558,558,Debit Card,Paid,11228
559,559,Debit Card,Paid,736.92
560,560,Net Banking,Refunded,22999.6
561,561,Debit Card,Paid,16290.16
562,562,UPI,Paid,64107.13
563,563,UPI,Paid,6820.44
564,564,UPI,Paid,9447.38
565,565,UPI,Paid,77419.36
566,566,Net Banking,Paid,8312.54
567,567,Debit Card,Refunded,67441.86
568,568,Debit Card,Paid,30950.05
569,569,Debit Card,Paid,34303.82
570,570,Credit Card,Paid,16037.86
571,571,Credit Card,Paid,34365.8
572,572,Debit Card,Paid,45134.92
573,573,Debit Card,Paid,72683.84
574,574,Debit Card,Paid,56979.94
575,575,Net Banking,Paid,76329.68
576,576,Credit Card,Refunded,70977.26
577,577,UPI,Paid,89325.12
578,578,Credit Card,Paid,54207.34
579,579,Credit Card,Paid,13951.24
580,580,Cash,Paid,87190.07
581,581,Credit Card,Paid,42600.42
582,582,Net Banking,Paid,62234.76
583,583,Net Banking,Paid,67013.89
584,584,Debit Card,Paid,71866.47
585,585,Cash,Paid,59333.38
586,586,Net Banking,Paid,29438.52
587,587,Credit Card,Paid,2226.4
588,588,Cash,Paid,23499.81
589,589,Debit Card,Paid,51750.73
590,590,Credit Card,Paid,3273.22
591,591,Debit Card,Paid,37244.13
592,592,UPI,Paid,77095.09
593,593,Debit Card,Paid,21877.16
594,594,Net Banking,Paid,50708.97
595,595,Net Banking,Refunded,73221.8
596,596,Cash,Paid,15793.03
597,597,Debit Card,Paid,29965.55
598,598,Credit Card,Paid,78901.68
599,599,Debit Card,Paid,53574.43
600,600,Cash,Paid,55291.19
601,601,UPI,Paid,29838.49
602,602,Net Banking,Paid,88293.15
603,603,Debit Card,Paid,75878.48
604,604,Debit Card,Paid,76073.25
605,605,UPI,Refunded,15419.48
606,606,UPI,Paid,10368.47
607,607,Debit Card,Paid,58457.98
608,608,Debit Card,Paid,27751.16
609,609,Credit Card,Paid,62831.45
610,610,Net Banking,Paid,21310.87
611,611,Credit Card,Paid,64130.41
612,612,Cash,Paid,38203.87
613,613,UPI,Paid,54661.74
614,614,Net Banking,Paid,5055.97
615,615,Credit Card,Paid,50189.86
616,616,Debit Card,Paid,61573
617,617,Credit Card,Paid,40527.9
618,618,Cash,Paid,3973.58
619,619,Debit Card,Paid,27365.68
620,620,Credit Card,Paid,15883.6
621,621,Credit Card,Paid,28410.12
622,622,Cash,Paid,70909.64
623,623,Credit Card,Paid,18418.79
624,624,Debit Card,Paid,60802.91
625,625,Cash,Paid,77392.24
626,626,Credit Card,Paid,89421.12
627,627,Debit Card,Paid,4630.52
628,628,Net Banking,Paid,34238.63
629,629,Cash,Paid,8898.31
630,630,UPI,Paid,50564.98
631,631,Net Banking,Paid,75270.53
632,632,Cash,Paid,86392.79
633,633,UPI,Paid,71198.53
634,634,UPI,Paid,44041.42
635,635,Debit Card,Paid,88999.44
636,636,Net Banking,Paid,83992.32
637,637,UPI,Paid,64216.99
638,638,Credit Card,Paid,89942.46
639,639,Debit Card,Paid,5713.45
640,640,Debit Card,Paid,72081.92
641,641,Cash,Paid,78622.7
642,642,Debit Card,Paid,82576.99
643,643,Net Banking,Paid,87315.12
644,644,Debit Card,Paid,89999
645,645,Net Banking,Paid,50493.24
646,646,Cash,Refunded,41426.66
647,647,Credit Card,Paid,50577.71
648,648,UPI,Paid,30855.13
649,649,Cash,Paid,14367.12
650,650,Credit Card,Paid,74599.62
651,651,Cash,Paid,68019.17
652,652,Net Banking,Refunded,87451.55
653,653,UPI,Paid,60026.23
654,654,Credit Card,Paid,13611.71
655,655,Cash,Paid,49573.45
656,656,UPI,Paid,58298.87
657,657,Cash,Paid,37065.09
658,658,UPI,Paid,12283.67
659,659,Net Banking,Paid,74671.04
660,660,Cash,Paid,1163.48
661,661,UPI,Refunded,75897.43
662,662,UPI,Paid,73023.61
663,663,Net Banking,Paid,47637.36
664,664,Net Banking,Paid,82738.69
665,665,Credit Card,Paid,67705.97
666,666,UPI,Paid,15030.66
667,667,Cash,Paid,51486.32
668,668,Cash,Paid,21341.68
669,669,Net Banking,Paid,14163.18
670,670,Net Banking,Paid,44406.2
671,671,Credit Card,Paid,77911.3
672,672,Net Banking,Paid,55527.46
673,673,Debit Card,Paid,71920.37
674,674,Net Banking,Paid,73143.05
675,675,Debit Card,Paid,12250.88
676,676,Cash,Paid,61025.26
677,677,Net Banking,Paid,46031.86
678,678,Net Banking,Paid,89814.83
679,679,UPI,Refunded,52092.31
680,680,Credit Card,Paid,17686.64
681,681,Net Banking,Refunded,68005.21
682,682,Credit Card,Paid,87754.68
683,683,Net Banking,Paid,5533.78
684,684,Debit Card,Paid,59798.21
685,685,Net Banking,Paid,15713.2
686,686,UPI,Refunded,20274.45
687,687,Debit Card,Paid,89918.79
688,688,Net Banking,Refunded,69867.69
689,689,Cash,Paid,20670.9
690,690,Debit Card,Paid,31051.81
691,691,Debit Card,Paid,42009.09
692,692,Cash,Paid,11258.8
693,693,Cash,Paid,18249.48
694,694,Debit Card,Refunded,53541.86
695,695,Net Banking,Paid,75698.44
696,696,Cash,Paid,65182.67
697,697,Net Banking,Paid,83784.11
698,698,Debit Card,Paid,39272.45
699,699,Debit Card,Paid,11917.81
700,700,Cash,Paid,62834.54
701,701,Credit Card,Paid,21009.74
702,702,Debit Card,Paid,44907.13
703,703,UPI,Paid,67657.09
704,704,Net Banking,Paid,21207.06
705,705,UPI,Paid,74262.33
706,706,Debit Card,Paid,919.43
707,707,UPI,Paid,13088.97
708,708,Debit Card,Paid,18635.93
709,709,Credit Card,Paid,18016.98
710,710,Cash,Paid,61547.14
711,711,Cash,Paid,79885.2
712,712,UPI,Paid,25499.49
713,713,Cash,Paid,11771.07
714,714,Net Banking,Refunded,56446.54
715,715,Cash,Paid,19955.11
716,716,Debit Card,Paid,72144.93
717,717,UPI,Paid,67820.87
718,718,Net Banking,Paid,43133.41
719,719,Net Banking,Paid,48769.73
720,720,Debit Card,Paid,26832.58
721,721,Credit Card,Paid,27852.54
722,722,Cash,Paid,8898.56
723,723,Credit Card,Paid,71302.07
724,724,Credit Card,Refunded,39326.34
725,725,Net Banking,Paid,64281.98
726,726,Cash,Paid,18080.24
727,727,Cash,Paid,38752.28
728,728,Credit Card,Paid,18614.79
729,729,Cash,Paid,47497.72
730,730,Cash,Paid,3710.05
731,731,Cash,Paid,81943
732,732,UPI,Paid,77667.01
733,733,Credit Card,Refunded,62496.7
734,734,Cash,Paid,8785.9
735,735,Debit Card,Paid,74237.45
736,736,UPI,Paid,71868.74
737,737,Net Banking,Refunded,11760.68
738,738,Cash,Paid,39265.82
739,739,UPI,Paid,36609.33
740,740,Debit Card,Paid,36473.54
741,741,Debit Card,Paid,44630.84
742,742,Cash,Paid,74646.78
743,743,Cash,Paid,38742.02
744,744,UPI,Paid,32446.23
745,745,Debit Card,Paid,21030.65
746,746,Credit Card,Paid,13453.28
747,747,Cash,Paid,13997.54
748,748,Net Banking,Paid,68415.71
749,749,Net Banking,Paid,26757.59
750,750,Cash,Paid,20738.34
751,751,UPI,Paid,30512.47
752,752,Debit Card,Paid,18335.32
753,753,Debit Card,Paid,70972.41
754,754,Debit Card,Paid,39362.53
755,755,Cash,Paid,18095.26
756,756,Credit Card,Refunded,44306.85
757,757,Credit Card,Paid,66528.28
758,758,Credit Card,Paid,66346.23
759,759,Credit Card,Paid,34401.2
760,760,Net Banking,Paid,31777.88
761,761,Credit Card,Paid,18678.43
762,762,Debit Card,Paid,15550.06
